postid	score	favCount	viewcount	link	problem	device	newbie	API change	deprecated	bug	discussion	ask for bug	tutorial	media player	SimpleGLSurfaceView	TextView	Tabactivity, Tabs, Taborder, Actionbar, TabListener	Audio 	DB	Edittext	layout, gridview, linear layout, table layout	Fragment/ListFragment	Intent	Listview	Animation	Service	ArrayAdapter	Button, CheckB0x	AsyncTask	ImageView	SharedPreferences	Location Service	GestureOverlayView	exernal apis, twitter, libgdx, unity3d, ant	Dialog	Webview	write/readFile, upload, download	Spinner, Viewpager (View)	Date Format	ArrayList	MapView	Activity	Bundle	camera, canvas	ohters(telephony manager, in App billing, pending intent, softkeyboard, bluetooth, viewhierarchy, remote)		
16902098	31	14	9041	http://stackoverflow.com/questions/16902098	location api																											1														problem	android.content.Intent, android.os.Bundle, android.bluetooth.BluetoothSocket, android.nfc.tech.MifareUltralight, android.nfc.tech.IsoDep, android.nfc.tech.NdefFormatable, android.nfc.tech.NfcB, android.media.MediaScannerConnection, android.nfc.tech.NfcF, android.nfc.tech.NfcA, android.nfc.tech.NfcV, android.nfc.tech.BasicTagTechnology, android.nfc.tech.Ndef, android.nfc.tech.NfcBarcode, android.nfc.tech.TagTechnology, android.nfc.tech.MifareClassic, 
17655264	17	14	8887	http://stackoverflow.com/questions/17655264	image view layout, tutorial								1																	1																how to	android.graphics.drawable.Drawable, android.content.Context, android.widget.ImageView, android.graphics.Rect, android.graphics.Canvas, android.graphics.Paint, android.graphics.Bitmap, android.util.AttributeSet, android.graphics.drawable.BitmapDrawable, android.graphics.Color, android.graphics.PorterDuffXfermode, 
19317251	0	0	197	http://stackoverflow.com/questions/19317251	gestureoverlayview																												1													exception	android.widget.ArrayAdapter, android.content.Intent, android.app.Activity, android.os.Bundle, android.view.View, android.util.Log, android.widget.ListView, android.app.Dialog, android.widget.Toast, android.widget.Button, android.widget.DatePicker, android.gesture.GestureOverlayView, android.gesture.Gesture, android.gesture.GestureLibrary, android.gesture.GestureLibraries, android.gesture.Prediction, 
19445565	1	2	498	http://stackoverflow.com/questions/19445565	listview, async task, intersection																		1																							how to	android.widget.ArrayAdapter, android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.util.Log, android.content.Context, android.content.ContextWrapper, android.app.ListActivity, android.widget.ListView, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, android.content.ContentProviderClient, android.widget.Toast, android.widget.Button, android.graphics.Bitmap, android.accounts.AccountManager, android.accounts.Account, android.content.Loader, android.widget.ListAdapter, android.app.ProgressDialog, android.os.AsyncTask, android.content.SyncResult, android.app.LoaderManager, android.content.AsyncTaskLoader, 
19656335	-1	0	194	http://stackoverflow.com/questions/19656335	tabs fragments order												1																													exception	android.view.Menu, android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.content.DialogInterface, android.view.View, android.content.Context, android.view.ContextThemeWrapper, android.content.ContextWrapper, android.widget.LinearLayout, android.widget.ListView, android.widget.AdapterView, android.view.ViewGroup, android.view.LayoutInflater, android.view.MenuInflater, android.widget.ImageView, android.app.Fragment, android.view.MenuItem, android.net.Uri, android.widget.Button, android.widget.PopupWindow, android.widget.TabWidget, android.widget.RelativeLayout, android.view.ActionMode, android.widget.GridView, android.widget.ViewAnimator, android.view.ViewConfiguration, android.app.FragmentTransaction, 
19678368	0	0	146	http://stackoverflow.com/questions/19678368	sherlock activity compatibility?			1									1																													problem	android.widget.ArrayAdapter, android.content.Intent, android.os.Bundle, android.widget.ListView, android.widget.Toast, 
19812201	0	0	494	http://stackoverflow.com/questions/19812201	twitter api																													1												problem	android.os.Bundle, android.util.Log, android.content.SharedPreferences, android.media.MediaMetadataEditor, 
20598220	1	1	1269	http://stackoverflow.com/questions/20598220	Intent + put extra																		1																							problem	android.content.Intent, android.os.Bundle, android.widget.TextView, android.view.View, android.widget.Toast, android.widget.EditText, 
20821311	0	0	106	http://stackoverflow.com/questions/20821311	textview, seekbar											1																														problem	android.widget.TextView, android.util.Log, android.content.ClipboardManager, android.webkit.WebView, android.widget.Toast, android.widget.TextSwitcher, android.preference.EditTextPreference, android.text.ClipboardManager, android.view.accessibility.AccessibilityNodeInfo, android.app.ProgressDialog, android.widget.ProgressBar, android.graphics.Color, 
20821488	0	0	148	http://stackoverflow.com/questions/20821488	dialog																														1											exception	android.widget.ArrayAdapter, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.content.Context, android.widget.ListView, android.widget.AdapterView, android.app.Dialog, android.view.ViewGroup, android.view.LayoutInflater, 
21581346	1	1	120	http://stackoverflow.com/questions/21581346	web view																															1										problem	android.os.Bundle, android.webkit.WebView, 
21644670	2	0	190	http://stackoverflow.com/questions/21644670	async task get value																								1																	how to	android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.util.Log, android.widget.Button, android.widget.EditText, android.app.ProgressDialog, android.os.AsyncTask, android.graphics.Typeface, 
21828904	1	0	115	http://stackoverflow.com/questions/21828904	write file																																1									is it possible	android.content.Intent, android.app.Activity, android.view.View, android.view.MenuItem, android.widget.RelativeLayout, android.widget.EditText, 
22267861	1	0	374	http://stackoverflow.com/questions/22267861	sqlite bug					1									1																											exception	android.os.Bundle, android.database.sqlite.SQLiteDatabase, 
22802618	-1	0	46	http://stackoverflow.com/questions/22802618	listview																			1																						exception	android.content.res.Resources, android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.content.Context, android.widget.ListView, android.view.ViewGroup, android.view.LayoutInflater, android.app.Fragment, android.widget.Button, 
22854677	0	0	250	http://stackoverflow.com/questions/22854677	spinner, newbie		1																															1								problem	android.os.Bundle, android.widget.TextView, android.view.View, android.widget.AdapterView, android.view.ViewGroup, android.view.LayoutInflater, android.widget.Button, android.widget.Spinner, android.app.FragmentTransaction, android.app.FragmentManager, 
23328353	1	0	78	http://stackoverflow.com/questions/23328353	simple date format																																		1							why	android.app.Activity, android.os.Bundle, android.view.View, android.view.MotionEvent, android.util.Log, android.os.Handler, 
23817356	0	0	148	http://stackoverflow.com/questions/23817356	async task																								1																	problem	android.content.Context, android.app.ProgressDialog, android.os.AsyncTask, 
24360417	0	0	143	http://stackoverflow.com/questions/24360417	file/dir io																																1									exception	android.util.Log, android.app.Application, 
24387059	1	1	72	http://stackoverflow.com/questions/24387059	fragment transaction																	1																								why	android.os.Bundle, android.widget.TextView, android.view.View, android.widget.ListView, android.widget.AdapterView, android.view.ViewGroup, android.view.LayoutInflater, android.app.Fragment, android.app.FragmentTransaction, 
25116187	0	0	63	http://stackoverflow.com/questions/25116187	arraylist implementation																																			1						problem	android.view.Menu, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.view.MenuInflater, android.widget.EditText, 
25787981	0	0	23	http://stackoverflow.com/questions/25787981	object animator																				1																					exception	android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.MotionEvent, android.animation.ObjectAnimator, 
11910041	1	1	2332	http://stackoverflow.com/questions/11910041	deprecated, tutorial				1				1																							1										other solution	android.view.View, android.webkit.WebView, android.view.KeyEvent, 
																																															
																																															
																																															
25528098	3	1	58	http://stackoverflow.com/questions/25528098	listview, ask for bug							1												1																						problem	android.widget.TextView, android.view.View, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, 
24429249	2	2	162	http://stackoverflow.com/questions/24429249	libgdx bouncing ball																													1												problem	android.view.View, android.graphics.Canvas, android.media.Image, android.widget.PopupWindow, android.graphics.Bitmap, android.view.Display, android.graphics.drawable.shapes.Shape, android.graphics.BitmapRegionDecoder, android.graphics.NinePatch, android.graphics.Picture, android.graphics.YuvImage, android.widget.ListPopupWindow, android.util.ArrayMap, android.os.Environment, android.text.Layout, android.opengl.GLES10, android.widget.AbsListView, android.opengl.GLES20, android.media.ImageReader, android.widget.Scroller, android.widget.OverScroller, 
23402552	5	4	118	http://stackoverflow.com/questions/23402552	textview fonts											1																														problem	android.widget.TextView, android.graphics.Typeface, 
21721182	2	1	143	http://stackoverflow.com/questions/21721182	file uploat, https																																1									how to	android.util.Log, android.util.Base64InputStream, 
21702288	2	1	293	http://stackoverflow.com/questions/21702288	textview											1																														problem	android.content.res.Resources, android.app.Activity, android.widget.TextView, android.view.View, android.util.Log, android.content.Context, android.widget.LinearLayout, android.widget.ListView, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, android.webkit.WebView, android.widget.ImageButton, android.widget.BaseAdapter, 
21368693	2	2	1430	http://stackoverflow.com/questions/21368693	viewpager																																	1								how to	android.content.Intent, android.app.Activity, android.widget.TextView, android.view.View, android.util.Log, android.content.Context, android.view.ViewGroup, android.view.LayoutInflater, android.util.SparseLongArray, android.util.SparseIntArray, android.util.SparseArray, android.util.SparseBooleanArray, android.widget.Button, android.widget.RelativeLayout, android.util.EventLogTags, android.os.Parcelable, android.speech.tts.TextToSpeech, 
20612385	3	1	1733	http://stackoverflow.com/questions/20612385	unity3d																													1												problem	android.app.Activity, android.os.Bundle, android.graphics.Rect, android.hardware.Camera, android.view.Window, 
19580276	2	1	3635	http://stackoverflow.com/questions/19580276	splash screen, intent, tutorial								1										1																							problem	android.content.Intent, android.app.Activity, android.os.Bundle, 
17481785	12	2	579	http://stackoverflow.com/questions/17481785	mapview																																				1					how to	android.graphics.drawable.Drawable, android.view.View, android.view.MotionEvent, android.util.Log, android.content.Context, android.graphics.Canvas, android.util.AttributeSet, android.view.ScaleGestureDetector, 
16999151	2	1	655	http://stackoverflow.com/questions/16999151	imageview, bitmap																									1																problem	android.app.Activity, android.os.Bundle, android.view.View, android.view.MotionEvent, android.content.Context, android.widget.ImageView, android.graphics.Canvas, android.widget.Button, android.graphics.Paint, android.graphics.Point, android.graphics.Bitmap, android.widget.RelativeLayout, android.app.ProgressDialog, android.os.AsyncTask, android.graphics.Path, 
16672568	5	4	8640	http://stackoverflow.com/questions/16672568	mediaplayer, samsung conf.	1								1																																exception	android.view.View, android.media.SoundPool, android.util.Log, android.media.AudioManager, android.widget.ImageView, android.content.ContentProviderClient, android.widget.Toast, android.hardware.Camera, android.media.MediaPlayer, android.view.SurfaceView, android.media.AudioTrack, android.media.MediaRecorder, android.widget.ProgressBar, android.widget.ImageSwitcher, android.media.AudioRecord, android.view.ViewStub, android.media.MediaMuxer, android.media.MediaCodec, android.app.MediaRouteButton, android.view.Surface, android.media.audiofx.AudioEffect, android.media.audiofx.Visualizer, android.graphics.SurfaceTexture, android.media.MediaActionSound, android.media.effect.Effect, android.text.method.TextKeyListener, android.media.JetPlayer, android.media.MediaExtractor, android.media.MediaMetadataRetriever, android.hardware.display.VirtualDisplay, android.media.MediaCrypto, android.media.effect.EffectContext, android.drm.DrmManagerClient, android.media.ToneGenerator, android.media.MediaDrm, android.net.rtp.RtpStream, 
14594833	4	1	4194	http://stackoverflow.com/questions/14594833	bundle/activity, newbie		1																																			1				problem	android.app.Activity, android.os.Bundle, android.app.Dialog, android.app.ActionBar, android.app.FragmentManager, 
14091353	3	2	6875	http://stackoverflow.com/questions/14091353	gridview, tutorial								1								1																									problem	android.widget.TextView, android.view.View, android.widget.LinearLayout, android.view.ViewGroup, android.view.LayoutInflater, android.view.MenuInflater, android.util.SparseLongArray, android.util.SparseIntArray, android.util.SparseArray, android.util.SparseBooleanArray, android.graphics.Bitmap, android.util.EventLogTags, android.media.CamcorderProfile, android.graphics.Typeface, 
13997550	5	6	4800	http://stackoverflow.com/questions/13997550	buundle, parcelable																																					1				exception	android.app.Activity, android.os.Bundle, android.app.Dialog, android.app.AlertDialog, android.app.Fragment, android.database.sqlite.SQLiteOpenHelper, android.app.ActivityGroup, android.os.Parcel, android.app.Instrumentation, android.app.ProgressDialog, android.app.DialogFragment, android.preference.PreferenceActivity, android.app.LauncherActivity, android.text.method.CharacterPickerDialog, android.accounts.AccountAuthenticatorActivity, android.app.NativeActivity, android.app.AliasActivity, android.test.InstrumentationTestRunner, android.preference.PreferenceFragment, 
13746124	31	9	11993	http://stackoverflow.com/questions/13746124	facebook, session																													1												exception	android.content.Intent, android.os.Bundle, android.view.View, android.util.Log, android.app.Fragment, android.widget.Button, android.content.SharedPreferences, android.view.inputmethod.CompletionInfo, android.content.Loader, android.view.inputmethod.InputMethodInfo, android.view.textservice.SpellCheckerInfo, android.view.InputDevice, 
13705776	4	1	5925	http://stackoverflow.com/questions/13705776	edittext, format text															1																										is it possible	android.widget.AdapterView, android.widget.TabWidget, android.widget.ScrollView, android.widget.EditText, android.widget.TableLayout, android.widget.HorizontalScrollView, 
13137184	6	1	3147	http://stackoverflow.com/questions/13137184	sqlite														1																											exception	android.app.Activity, android.app.Dialog, android.app.AlertDialog, android.app.Fragment, android.database.sqlite.SQLiteOpenHelper, android.app.ActivityGroup, android.app.Instrumentation, android.app.ProgressDialog, android.app.DialogFragment, android.preference.PreferenceActivity, android.app.LauncherActivity, android.text.method.CharacterPickerDialog, android.app.DownloadManager, android.accounts.AccountAuthenticatorActivity, android.app.NativeActivity, android.app.AliasActivity, android.test.InstrumentationTestRunner, android.preference.PreferenceFragment, 
13067459	6	1	297	http://stackoverflow.com/questions/13067459	mapview																																				1					other solution	android.os.Bundle, android.content.ContentValues, android.graphics.Rect, android.graphics.Canvas, android.util.LongSparseArray, android.util.SparseLongArray, android.util.SparseIntArray, android.util.SparseArray, android.util.SparseBooleanArray, android.graphics.Paint, android.graphics.Point, android.graphics.drawable.ColorDrawable, android.util.LruCache, android.util.ArrayMap, android.graphics.PointF, android.graphics.Path, android.graphics.RectF, android.graphics.drawable.GradientDrawable, 
13044316	2	3	846	http://stackoverflow.com/questions/13044316	camera, samsung conf.	1																																						1		other solution	android.content.Intent, android.view.View, android.content.Context, android.content.ContextWrapper, android.widget.ImageView, android.net.Uri, android.widget.Toast, android.graphics.Bitmap, 
12496732	2	1	1717	http://stackoverflow.com/questions/12496732	file stuff																																1									problem	android.content.Intent, android.view.View, android.widget.ImageView, android.net.Uri, android.widget.Button, android.graphics.Bitmap, android.view.Window, 
12404012	8	3	7076	http://stackoverflow.com/questions/12404012	start emulator																													1												problem	android.content.Intent, android.app.Activity, android.os.Bundle, android.app.PendingIntent, android.util.Log, android.content.Context, android.app.AlertDialog, android.webkit.WebView, android.net.Uri, android.net.ConnectivityManager, 
12070001	5	1	188	http://stackoverflow.com/questions/12070001	gestures, tutorial								1																				1													problem	android.util.Log, android.widget.Toast, android.gesture.GestureOverlayView, android.gesture.Gesture, android.gesture.GestureLibrary, android.gesture.Prediction, android.gesture.GestureStore, 
12007139	6	1	8626	http://stackoverflow.com/questions/12007139	Service + intent																					1																				exception	android.content.Intent, android.content.Context, android.content.ContextWrapper, 
11675959	2	1	4561	http://stackoverflow.com/questions/11675959	tabhost und fragments, api usage different versions			1									1																													why	android.widget.TabHost, android.app.Activity, android.os.Bundle, 
11498499	6	3	3103	http://stackoverflow.com/questions/11498499	json																													1												is it possible	android.content.res.AssetManager, 
10939311	2	3	1080	http://stackoverflow.com/questions/10939311	media player, htc, lg	1								1																																problem	android.util.Log, android.media.MediaPlayer, android.media.MediaRecorder, android.os.Environment, android.util.Property, android.media.AudioRecord, android.media.MediaCodec, android.os.Process, android.media.effect.Effect, android.media.MediaCodecInfo, 
10271417	11	2	3893	http://stackoverflow.com/questions/10271417	pending intent, alarm, newbie		1																																						1	how to	android.content.Intent, android.app.PendingIntent, android.widget.TimePicker, 
9648797	2	1	2630	http://stackoverflow.com/questions/9648797	animation style, problem with docu								1												1																					is it possible	android.view.View, android.view.LayoutInflater, android.widget.Button, android.widget.PopupWindow, 
9233800	5	1	10268	http://stackoverflow.com/questions/9233800	canvas																																							1		how to	android.view.View, android.view.MotionEvent, android.content.Context, android.graphics.Canvas, android.graphics.Paint, android.util.AttributeSet, 
9101835	3	4	4123	http://stackoverflow.com/questions/9101835	layout, newbie		1														1																									problem	android.content.res.Resources, android.graphics.drawable.Drawable, android.widget.TextView, android.view.View, android.widget.LinearLayout, android.view.LayoutInflater, android.view.MenuInflater, 
8822802	3	1	386	http://stackoverflow.com/questions/8822802	in app billing, notifications																																								1	why	android.content.Intent, android.util.Log, 
8649705	3	1	6526	http://stackoverflow.com/questions/8649705	listview																			1																						other solution	android.app.Activity, android.widget.TextView, android.view.View, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, android.util.SparseLongArray, android.util.SparseIntArray, android.util.SparseArray, android.util.SparseBooleanArray, android.view.Window, android.widget.BaseAdapter, android.util.EventLogTags, android.media.CamcorderProfile, android.widget.TableLayout, android.view.ViewStub, 
8634359	13	3	4504	http://stackoverflow.com/questions/8634359	build andorid ant																													1												problem	android.app.Activity, android.os.Bundle, android.app.Application, android.os.Debug, 
7200281	83	35	90830	http://stackoverflow.com/questions/7200281	softkeyboard, tutorial								1																																	problem	android.app.Activity, android.os.Bundle, android.view.inputmethod.InputMethodManager, android.widget.EditText, 
7145787	10	12	9493	http://stackoverflow.com/questions/7145787	bluetooth printer																																									problem	android.content.Intent, android.app.Activity, android.os.Bundle, android.content.DialogInterface, android.util.Log, android.content.BroadcastReceiver, android.content.Context, android.content.ContextWrapper, android.app.Dialog, android.widget.Toast, android.content.IntentFilter, android.bluetooth.BluetoothAdapter, android.bluetooth.BluetoothSocket, android.bluetooth.BluetoothDevice, 
7102152	3	1	1064	http://stackoverflow.com/questions/7102152	camera, htc issue, newbie	1																																						1		problem	android.util.Log, android.graphics.Canvas, android.view.SurfaceHolder, android.hardware.Camera, android.graphics.Bitmap, android.view.TextureView, 
7084337	2	2	3077	http://stackoverflow.com/questions/7084337	home screen, ask for bug							1																														1				problem	android.content.Intent, android.util.Log, android.app.Application, android.content.ComponentName, android.content.IntentFilter, 
6992142	3	1	2735	http://stackoverflow.com/questions/6992142	activity																																					1				problem	android.widget.TabHost, android.widget.ArrayAdapter, android.content.Intent, android.app.Activity, android.os.Bundle, android.view.View, android.util.Log, android.app.ListActivity, android.widget.ListView, android.app.ListFragment, android.widget.Button, android.app.ActivityGroup, android.widget.Spinner, android.app.TabActivity, 
6800244	3	2	5526	http://stackoverflow.com/questions/6800244	shared preferences																							1																		how to	android.view.Menu, android.app.Activity, android.os.Bundle, android.widget.TextView, android.content.DialogInterface, android.view.View, android.app.Dialog, android.app.AlertDialog, android.view.MenuItem, android.widget.CheckBox, android.graphics.Color, android.graphics.Typeface, 
6689896	2	3	6824	http://stackoverflow.com/questions/6689896	textview, table rowm, doku								1			1																														problem	android.widget.ArrayAdapter, android.widget.TextView, android.util.Log, android.widget.TableRow, 
5771389	2	1	1254	http://stackoverflow.com/questions/5771389	image view layout params																1																									problem	android.view.View, android.content.Context, android.view.ViewGroup, android.widget.ImageView, android.content.res.TypedArray, android.graphics.BitmapFactory, 
5242835	8	5	4038	http://stackoverflow.com/questions/5242835	video view, layout params																1																									problem	android.view.View, android.app.Dialog, android.widget.Button, android.widget.VideoView, 
5095977	11	23	13675	http://stackoverflow.com/questions/5095977	webview																															1										problem	android.webkit.WebView, 
