fqn	smellName	severity
android.telephony.CellSignalStrengthWcdma		
android.telephony.CellSignalStrengthLte		
android.telephony.CellSignalStrengthCdma		
android.telephony.CellSignalStrength		
android.transition.TransitionInflater		
android.widget.RemoteViewsService		
android.graphics.PixelXorXfermode		
android.net.wifi.p2p.nsd.WifiP2pUpnpServiceRequest		
android.net.wifi.p2p.nsd.WifiP2pDnsSdServiceRequest		
android.text.style.EasyEditSpan		
android.print.PrintDocumentAdapter		
android.nfc.TagLostException		
android.graphics.LayerRasterizer		
android.bluetooth.BluetoothClass		
android.content.SyncInfo		
android.text.style.ParagraphStyle		
android.content.SyncRequest		
android.content.pm.PathPermission		
android.content.PeriodicSync		
android.text.GetChars		
android.widget.TextClock		
android.graphics.PathDashPathEffect		
android.graphics.ComposePathEffect		
android.provider.Telephony		
android.os.NetworkOnMainThreadException		
android.bluetooth.BluetoothGattCallback		
android.text.ParcelableSpan		
android.media.audiofx.BassBoost		
android.text.style.WrapTogetherSpan		
android.renderscript.BaseObj		
android.view.textservice.TextServicesManager		
android.net.wifi.p2p.WifiP2pInfo		
android.telephony.CellInfo		
android.telephony.CellInfoLte		
android.view.textservice.SuggestionsInfo		
android.telephony.CellInfoCdma		
android.telephony.CellIdentityGsm		
android.view.inputmethod.CorrectionInfo		
android.print.PrintAttributes		
android.print.PrintJobId		
android.telephony.CellInfoGsm		
android.print.PrinterId		
android.print.PrinterCapabilitiesInfo		
android.view.textservice.SentenceSuggestionsInfo		
android.telephony.CellInfoWcdma		
android.net.wifi.p2p.WifiP2pGroup		
android.telephony.CellIdentityWcdma		
android.telephony.CellIdentityLte		
android.net.wifi.p2p.nsd.WifiP2pServiceInfo		
android.view.AbsSavedState		
android.text.style.LocaleSpan		
android.net.wifi.WpsInfo		
android.preference.SwitchPreference		
android.text.method.MultiTapKeyListener		
android.text.method.QwertyKeyListener		
android.opengl.Visibility		
android.transition.Visibility		
android.security.KeyChainException		
android.hardware.input.InputManager		
android.content.ComponentCallbacks		
android.service.notification.NotificationListenerService		
android.text.LoginFilter		
android.view.ViewDebug		
android.os.BadParcelableException		
android.app.backup.RestoreObserver		
android.database.sqlite.SQLiteFullException		
android.text.style.RasterizerSpan		
android.content.res.ObbScanner		
android.webkit.WebSyncManager		
android.content.ComponentCallbacks2		
android.net.wifi.p2p.nsd.WifiP2pUpnpServiceInfo		
android.net.nsd.NsdManager		
android.renderscript.ScriptIntrinsic3DLUT		
android.renderscript.ScriptIntrinsicBlend		
android.renderscript.ScriptIntrinsicHistogram		
android.renderscript.ScriptIntrinsicLUT		
android.hardware.display.DisplayManager		
android.opengl.GLException		
android.os.storage.OnObbStateChangeListener		
android.transition.Fade		
android.util.TimeFormatException		
android.bluetooth.BluetoothHealth		
android.animation.TimeInterpolator		
android.os.RecoverySystem		
android.printservice.PrintService		
android.annotation.TargetApi		
android.view.animation.CycleInterpolator		
android.bluetooth.BluetoothHealthCallback		
android.content.MutableContextWrapper		
android.net.wifi.p2p.nsd.WifiP2pDnsSdServiceInfo		
android.text.InputType		
android.media.effect.EffectFactory		
android.provider.AlarmClock		
android.renderscript.Float2		
android.view.CollapsibleActionView		
android.graphics.DiscretePathEffect		
android.text.style.MaskFilterSpan		
android.net.rtp.AudioCodec		
android.database.sqlite.SQLiteDatabaseLockedException		
android.nfc.cardemulation.HostApduService		
android.util.StateSet		
android.text.style.AlignmentSpan		
android.print.PrintManager		
android.media.audiofx.Virtualizer		
android.hardware.ConsumerIrManager		
android.provider.DocumentsContract		
android.drm.DrmErrorEvent		
android.net.sip.SipErrorCode		
android.text.util.Rfc822Tokenizer		
android.accounts.AccountsException		
android.bluetooth.BluetoothGattServerCallback		
android.renderscript.RSRuntimeException		
android.text.SpanWatcher		
android.app.backup.FullBackupDataOutput		
android.media.CameraProfile		
android.database.ContentObservable		
android.database.sqlite.SQLiteCantOpenDatabaseException		
android.text.style.LeadingMarginSpan		
android.renderscript.ScriptC		
android.media.audiofx.LoudnessEnhancer		
android.app.AppOpsManager		
android.accounts.NetworkErrorException		
android.os.BatteryManager		
android.transition.ChangeBounds		
android.graphics.PorterDuff		
android.database.sqlite.SQLiteDoneException		
android.opengl.EGLExt		
android.text.style.TabStopSpan		
android.transition.TransitionValues		
android.database.sqlite.SQLiteDiskIOException		
android.security.KeyStoreParameter		
android.os.DropBoxManager		
android.opengl.GLES30		
android.provider.CalendarContract		
android.database.sqlite.SQLiteReadOnlyDatabaseException		
android.transition.AutoTransition		
android.app.backup.BackupHelper		
android.inputmethodservice.AbstractInputMethodService		
android.view.accessibility.AccessibilityNodeProvider		
android.hardware.TriggerEventListener		
android.net.http.X509TrustManagerExtensions		
android.nfc.cardemulation.OffHostApduService		
